id,study,title,design,instrument,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5
101,"Ahmed, 2020",Modeling social network influence on hurricane eva,empirical,A,R,R,R,R,P,,,,,
102,"Albi, 2016",Invisible Control of Self-Organizing Agents Leavin,mixed,A+B,R,R,R,P,P,R,P,P,P,P
103,"Albi, 2020",Mathematical models and methods for crowd dynamics,other,B,,,,,,NA,NA,NA,NA,NA
104,"Albi, 2021",Optimized leaders strategies for crowd evacuation,simulation,B,,,,,,R,P,N,P,P
105,"Alhindi, 2021",Emergency Planning for UAV-Controlled Crowd Evacua,simulation,B,,,,,,R,P,P,P,R
106,"Alidmat, 2025",Simulation of Crowd Evacuation in Asymmetrical Exi,simulation,B,,,,,,R,P,P,R,P
107,"Almeida, 2015",Crowd Simulation Applied to Emergency and Evacuati,simulation,B,,,,,,R,P,N,P,P
108,"Almeida, 2021",Evacuation by leader-follower model with bounded c,simulation,B,,,,,,R,P,N,R,P
109,"Arteaga, 2023",Effect of trained evacuation leaders on victims,simulation,B,,,,,,R,R,N,R,P
113,"Bellomo, 2016",Human behaviours in evacuation crowd dynamics Fro,simulation,B,,,,,,R,P,N,P,P
114,"Bode, 2014",Human responses to multiple sources of directional,empirical,A,R,R,R,R,R,,,,,
115,"Bode, 2015",Information use by humans during dynamic route cho,empirical,A,R,R,R,P,P,,,,,
116,"Boos, 2014",Leadership in Moving Human Groups,empirical,A,R,R,R,R,R,,,,,
117,"Boukas, 2015",Robot Guided Crowd Evacuation,mixed,A+B,R,P,R,P,P,R,R,R,P,R
118,"Cai, 2014",Crowd Evacuation Simulation in Multi-Agent Based V,simulation,B,,,,,,R,P,N,N,P
119,"Cao, 2016",Modeling pedestrian evacuation with guiders based,simulation,B,,,,,,R,P,N,R,P
120,"Cao, 2021",Simulation of competitive and cooperative egress m,simulation,B,,,,,,R,R,R,N,P
121,"Cao, 2024",Simulation of Crowd Evacuation in Subway Stations,simulation,B,,,,,,R,R,N,R,P
122,"Charalampous, 2014",Social mapping on RGB-D scenes,other,NA,,,,,,,,,,
123,"Chen, 2022",An Entropy-Based Combined Behavior Model for Crowd,simulation,B,,,,,,R,P,N,R,P
124,"Chen, 2021",An extended model for crowd evacuation considering,simulation,B,,,,,,R,P,N,P,P
