id,year,type,venue,doi,title
101,2020,journal article,Transportation Research Interdisciplinary Perspectives,10.1016/j.trip.2020.100180,Modeling social network influence on hurricane eva
102,2016,journal article,SIAM Journal on Applied Mathematics,10.1137/15M1017016,Invisible Control of Self-Organizing Agents Leavin
103,2020,book chapter,"Crowd Dynamics, Volume 2",10.1007/978-3-030-50450-2_8,Mathematical models and methods for crowd dynamics
104,2021,preprint,arXiv,,Optimized leaders strategies for crowd evacuation
105,2021,journal article,Applied Sciences,10.3390/app11199009,Emergency Planning for UAV-Controlled Crowd Evacua
106,2025,journal article,IEEE Access,10.1109/ACCESS.2024.3420068,Simulation of Crowd Evacuation in Asymmetrical Exi
107,2015,book chapter,Advances in Artificial Transportation Systems and Simulation,,Crowd Simulation Applied to Emergency and Evacuati
108,2021,journal article,Archives of Control Sciences,10.24425/acs.2021.138695,Evacuation by leader-follower model with bounded c
109,2023,journal article,Safety Science,10.1016/j.ssci.2022.105967,Effect of trained evacuation leaders on victims
110,2004,conference paper,Cellular Automata,10.1007/978-3-540-30479-1_62,Modeling the Effect of Leadership on Crowd Flow Dy
113,2016,journal article,Physics of Life Reviews,10.1016/j.plrev.2016.05.014,Human behaviours in evacuation crowd dynamics Fro
114,2014,journal article,Journal of The Royal Society Interface,10.1098/rsif.2013.0904,Human responses to multiple sources of directional
115,2015,journal article,Royal Society Open Science,10.1098/rsos.140410,Information use by humans during dynamic route cho
116,2014,journal article,PLoS Computational Biology,10.1371/journal.pcbi.1003541,Leadership in Moving Human Groups
117,2015,journal article,IEEE Transactions on Automation Science and Engineering,10.1109/TASE.2014.2323175,Robot Guided Crowd Evacuation
118,2014,conference paper,Proceedings of the 2012 International Conference on Cybernetics and Informatics,10.1007/978-1-4614-3872-4_305,Crowd Evacuation Simulation in Multi-Agent Based V
119,2016,journal article,Physics Letters A,10.1016/j.physleta.2015.11.028,Modeling pedestrian evacuation with guiders based
120,2021,journal article,Simulation Modelling Practice and Theory,10.1016/j.simpat.2021.102309,Simulation of competitive and cooperative egress m
121,2024,journal article,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2024.3372994,Simulation of Crowd Evacuation in Subway Stations
122,2014,conference paper,2014 IEEE International Conference on Imaging Systems and Techniques (IST) Proceedings,10.1109/IST.2014.6958512,Social mapping on RGB-D scenes
123,2022,journal article,Entropy,10.3390/e24101479,An Entropy-Based Combined Behavior Model for Crowd
124,2021,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2021.125833,An extended model for crowd evacuation considering
125,2023,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2023.128740,An evacuation guidance model for heterogeneous pop
126,2023,conference paper,2023 42nd Chinese Control Conference (CCC),10.23919/CCC58697.2023.10241113,Study on evacuation strategy of multi-exit room
127,2019,conference paper,2019 5th International Conference on Optimization and Applications (ICOA),10.1109/ICOA.2019.8727705,Decision Making in Complex System
128,2020,journal article,Intelligent Decision Technologies,10.3233/IDT-190092,Fuzzy controller and emotional model for evacuatio
129,2019,journal article,Fire Technology,10.1007/s10694-018-0747-6,"Incorporating Individual Behavior, Knowledge, and"
130,2017,conference paper,Proceedings of the 6th International Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015),10.7712/120117.5547.18175,Modeling Airport Evacuation Under Emergency Using
131,2019,journal article,Computer-Aided Civil and Infrastructure Engineering,10.1111/mice.12364,Integrating a Human Behavior Model within an Agent
132,2018,conference paper,2018 IEEE Conference on Decision and Control (CDC),10.1109/cdc.2018.8619480,
134,2020,journal article,Fire Safety Journal,10.1016/j.firesaf.2020.103189,Experimental study of leader-and-follower behaviou
135,2021,journal article,Journal of Safety Science and Resilience,10.1016/j.jnlssr.2021.09.002,Experiment and simulation study of emergency evacu
137,2024,journal article,Applied Mathematics and Computation,10.1016/j.amc.2023.128448,A modified social force model for crowd evacuation
138,2014,journal article,IFAC Proceedings Volumes,10.3182/20140824-6-ZA-1003.01879,Crowd Evacuation Optimization by Leader-follower M
139,2022,journal article,Physica A: Statistical Mechanics and its Applications,10.1016/j.physa.2022.128221,An optimization method for evacuation guidance und
140,2024,conference paper,2024 IEEE 18th International Conference on Control & Automation (ICCA),10.1109/ICCA62789.2024.10591884,An Entropy-Based Path Planning Method for Crowd Ev
141,2009,journal article,Behavior Research Methods,10.3758/BRM.41.3.957,Cooperation versus competition in a mass emergency
142,2018,conference paper,2018 9th International Conference on Information Technology in Medicine and Education (ITME),10.1109/ITME.2018.00226,Study of the Indoor Evacuation Based on the Groupi
143,2023,journal article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2023.103916,Groups in pedestrian evacuation Survey data on at
144,2017,conference paper,2017 4th International Conference on New Media Studies (CONMEDIA),10.1109/CONMEDIA.2017.8266037,Crowd evacuation using multi-agent system with lea
145,2016,journal article,Safety Science,10.1016/j.ssci.2015.11.015,Leader-follower model for agent based simulation o
146,2010,journal article,Animal Behaviour,10.1016/j.anbehav.2009.12.039,Leadership and social information use in human cro
147,2013,conference paper,Proceedings of the 5th International Conference on Agents and Artificial Intelligence,10.5220/0004197003570364,Group Formation and Knowledge Sharing in Pedestria
148,2021,journal article,Automation in Construction,10.1016/j.autcon.2021.103644,Do people follow neighbors An immersive virtual r
149,2014,conference paper,2014 International Conference on Intelligent Networking and Collaborative Systems,10.1109/INCoS.2014.51,Necessary Condition for Self-Organized Follow-Me E
