venue,publications
Physica A: Statistical Mechanics and its Applications,29
Safety Science,9
IEEE Access,7
IEEE Transactions on Intelligent Transportation Systems,6
Simulation Modelling Practice and Theory,5
International Journal of Disaster Risk Reduction,5
IEEE Transactions on Automation Science and Engineering,4
Applied Mathematics and Computation,4
IEEE Transactions on Computational Social Systems,4
Computer Animation and Virtual Worlds,4
Cellular Automata,3
Physics Letters A,3
Transportation Research Part C: Emerging Technologies,3
Applied Mathematical Modelling,3
Collective Dynamics,3
Journal of Statistical Mechanics: Theory and Experiment,3
Journal of Safety Science and Resilience,2
2018 9th International Conference on Information Technology in Medicine and Education (ITME),2
Animal Behaviour,2
Automation in Construction,2
Prehospital and Disaster Medicine,2
"Chaos, Solitons & Fractals",2
IEEE Sensors Journal,2
Information Sciences,2
Pedestrian and Evacuation Dynamics 2012,2
Frontiers in Robotics and AI,2
"2011 IEEE International Symposium on Safety, Security, and Rescue Robotics",2
Fire and Materials,2
SIMULATION,2
Adaptive Behavior,2
Procedia Engineering,2
European Journal of Social Psychology,2
Transportation Research Record Journal of the Transportation Research Board,2
Transportation Research Interdisciplinary Perspectives,1
SIAM Journal on Applied Mathematics,1
"Crowd Dynamics, Volume 2",1
arXiv,1
Applied Sciences,1
Advances in Artificial Transportation Systems and Simulation,1
Archives of Control Sciences,1
Physics of Life Reviews,1
Journal of The Royal Society Interface,1
Royal Society Open Science,1
PLoS Computational Biology,1
Proceedings of the 2012 International Conference on Cybernetics and Informatics,1
2014 IEEE International Conference on Imaging Systems and Techniques (IST) Proceedings,1
Entropy,1
2023 42nd Chinese Control Conference (CCC),1
2019 5th International Conference on Optimization and Applications (ICOA),1
Intelligent Decision Technologies,1
Fire Technology,1
Proceedings of the 6th International Conference on Computational Methods in Structural Dynamics and Earthquake Engineering (COMPDYN 2015),1
Computer-Aided Civil and Infrastructure Engineering,1
2018 IEEE Conference on Decision and Control (CDC),1
Fire Safety Journal,1
IFAC Proceedings Volumes,1
2024 IEEE 18th International Conference on Control & Automation (ICCA),1
Behavior Research Methods,1
2017 4th International Conference on New Media Studies (CONMEDIA),1
Proceedings of the 5th International Conference on Agents and Artificial Intelligence,1
2014 International Conference on Intelligent Networking and Collaborative Systems,1
19th IEEE International Conference on Tools with Artificial Intelligence(ICTAI 2007),1
"Computers, Materials & Continua",1
Tunnelling and Underground Space Technology,1
Advances in Social Simulation,1
Artificial Life and Robotics,1
Computers & Graphics,1
IOP Conference Series: Materials Science and Engineering,1
IJCSES International Journal of Computer Sciences and Engineering Systems,1
2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),1
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",1
IEEE Transactions on Emerging Topics in Computational Intelligence,1
Journal of Applied Science and Engineering,1
2013 Fourth International Conference on Intelligent Control and Information Processing (ICICIP),1
2016 International Symposium on Electronics and Smart Devices (ISESD),1
ASME International Mechanical Engineering Congress and Exposition (IMECE2015),1
Highlights of Practical Applications of Survivable Agents and Multi-Agent Systems. The PAAMS Collection,1
Mass Gathering Medicine,1
2017 Seventh International Conference on Information Science and Technology (ICIST),1
Volume 14: Emerging Technologies; Materials: Genetics to Structures; Safety Engineering and Risk Analysis,1
EPL (Europhysics Letters),1
Proceedings of the 4th International Conference on Computer Science and Application Engineering,1
Computers & Industrial Engineering,1
Building Simulation,1
Chinese Physics B,1
Physical Review E,1
Applied Soft Computing,1
Mathematical Problems in Engineering,1
Computer Supported Cooperative Work and Social Computing,1
Scientific Reports,1
Knowledge-Based Systems,1
IEEE Latin America Transactions,1
Personal and Ubiquitous Computing,1
Modelling and Simulation in Engineering,1
Multimedia Tools and Applications,1
International Journal of Industrial Ergonomics,1
2020 59th IEEE Conference on Decision and Control (CDC),1
"Sensors, and Command, Control, Communications, and Intelligence (C3I) Technologies for Homeland Security and Homeland Defense III",1
2018 International Seminar on Intelligent Technology and Its Applications (ISITIA),1
2021 IEEE International Conference on Advanced Robotics and Its Social Impacts (ARSO),1
Social Robotics,1
"2023 IEEE International Symposium on Safety, Security, and Rescue Robotics (SSRR)",1
IEEE Computer Graphics and Applications,1
Structures Congress 2015,1
Emergency Management Science and Technology,1
Complex Sciences,1
"Virtual Humans and Crowds for Immersive Environments (VHCIE), IEEE",1
2012 IEEE International Conference on Robotics and Automation,1
2016 8th Computer Science and Electronic Engineering (CEEC),1
2009 WRI World Congress on Computer Science and Information Engineering,1
2011 16th International Conference on Computer Games (CGAMES),1
Electronic Imaging,1
Ambient Intelligence - Software and Applications,1
Advanced Robotics,1
Proceedings of the 2006 Winter Simulation Conference,1
Implementation and Application of Automata,1
International Journal of Foundations of Computer Science,1
Journal of Building Engineering,1
"Social, Cultural, and Behavioral Modeling",1
Sensors,1
International Journal of Disaster Resilience in the Built Environment,1
IEEE Transactions on Human-Machine Systems,1
2018 11th International Symposium on Computational Intelligence and Design (ISCID),1
2021 2nd International Conference for Emerging Technology (INCET),1
Leadership and Management in Engineering,1
"International Journal of Scientific & Engineering Research,",1
International Journal of Emergency Management,1
Living with Robots,1
IEEE Transactions on Cybernetics,1
2019 Chinese Automation Congress (CAC),1
TMS/DEVS Symposium on Theory of Modeling and Simulation,1
2022 41st Chinese Control Conference (CCC),1
2011 IEEE 17th International Conference on Parallel and Distributed Systems,1
Computational Visual Media,1
PLoS ONE,1
Journal of Loss Prevention in the Process Industries,1
International Journal of Modern Physics C,1
MDPI Mathematics,1
2023 American Control Conference (ACC),1
52nd IEEE Conference on Decision and Control,1
Journal of Perinatal & Neonatal Nursing,1
2013 10th IEEE International Conference on Control and Automation (ICCA),1
IEEE Internet of Things Journal,1
SSRN,1
Journal of Rail Transport Planning & Management,1
ACM Transactions on Modeling and Computer Simulation,1
Applied Intelligence,1
2022 IEEE 61st Conference on Decision and Control (CDC),1
IEEE Transactions on Control Systems Technology,1
IFAC-PapersOnLine,1
Journal of Intelligent & Robotic Systems,1
Journal of Computing in Civil Engineering,1
International Journal of Information Systems for Crisis Response and Management,1
Cellular Automata (ACRI 2012),1
CU Scholar (University of Colorado Boulder),1
British Journal of Social Psychology,1
Social Behavior and Personality An International Journal,1
Transportation research procedia,1
"Library, Museums and Press - UDSpace (University of Delaware)",1
Frontiers in Psychology,1
The Irish Journal of Psychology,1
Journal of Applied Social Psychology,1
2009 13th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications,1
International Journal of Pervasive Computing and Communications,1
Annals of Computer Science and Information Systems,1
Deep Blue (University of Michigan),1
Sustainability,1
Policing A Journal of Policy and Practice,1
Social Forces,1
