id,source,family,year,etype,venue,doi,title,cited_by,rationale,coding_status,verify_status
501,w3,SS-2,2015,article,European Journal of Social Psychology,10.1002/ejsp.2108,Managing to avert disaster: Explaining collective resilience at an outdoor music event,69,"social identity / collective resilience, interview-based",PENDING,PENDING_C1
502,w3,SS-1,2011,phdthesis,CU Scholar (University of Colorado Boulder),,"Terror Defeated: Occupant Sensemaking, Decision-Making and Protective Action in the 2001 World Trade Center Disaster",67,"WTC dissertation, 245 survivor interviews: uniquely on-target but grey literature [ADMITTED by author decision 2026-08-11]",PENDING,PENDING_C1
503,w3,SS-1,2008,article,British Journal of Social Psychology,10.1348/014466608x357893,Everyone for themselves? A comparative study of crowd solidarity among emergency survivors,385,"canonical crowd solidarity study, social identity vs mass panic",PENDING,PENDING_C1
504,w3,SS-1,2018,article,Social Behavior and Personality An International Journal,10.2224/sbp.6946,Social attachment shapes emergency responses: Evidence from a postfire study,7,"social attachment (affiliation) model, postfire empirical",PENDING,PENDING_C1
505,w3,SS-1,2016,article,Safety Science,10.1016/j.ssci.2016.07.001,Modelling social identification and helping in evacuation simulation,89,social identification embedded in evacuation simulation,PENDING,PENDING_C1
506,w3,SS-1,2023,article,International Journal of Disaster Risk Reduction,10.1016/j.ijdrr.2023.103713,Information sharing and support among residents in response to fire incidents in high-rise residential buildings,26,"social identity applied to high-rise fire response, empirical",PENDING,PENDING_C1
507,w3,SS-1,2011,inproceedings,"2011 IEEE International Symposium on Safety, Security, and Rescue Robotics",10.1109/ssrr.2011.6106783,Emergence of cooperation as the impact of evacuee's solidarity,7,solidarity/cooperation in evacuation modeling,PENDING,PENDING_C1
508,w3,SS-1,2014,article,Transportation research procedia,10.1016/j.trpro.2014.09.099,Humans do not Always Act Selfishly: Social Identity and Helping in Emergency Evacuation Simulation,42,social identity and helping in evacuation simulation,PENDING,PENDING_C1
509,w3,SS-1,2001,misc,"Library, Museums and Press - UDSpace (University of Delaware)",,"Collective Behavior In the September 11, 2001 Evacuation Of The World Trade Center",24,"emergent norm theory, WTC witness accounts",PENDING,PENDING_C1
510,w3,SS-1,2023,article,Frontiers in Psychology,10.3389/fpsyg.2023.1146056,“Are we in this together?”: embedding social identity detection in drones improves emergency coordination,7,"social identity detection in drone guidance, guidance+leadership boundary",PENDING,PENDING_C1
