Source,Year
ACL Emergency Readiness for Older Adults,2014
ACL Three Questions about Inclusive Emergency,2020
ADA Checklist for Emergency Shelters,2007
ADA Emergency Planning,2024
ADA Making Community Emergency Preparedness,2020
ADA Standards for Accessible Design,2010
ADA Title II Checklist_searchable,2009
Approved Document B,2019
BS 9991,2015
BS 9999,2008
CDC Access and Functional Needs Toolkit,2021
CDC Emergency Preparedness and Disability Inclusion,2024
CIBSE Guide E,2010
Departmental Guidelines on Emergency Preparedness and Individuals with Disabilities ,2024
Egressibility Accessible Fire Evacuation for All,2022
Emergency Evacuation Planning for People with Disabilities,2022
Emergency management under title II ADA,2007
EOP Annex 6,2016
Federal Evacuation Support Annex,2021
FEMA Evacuating the Special Needs Population,2009
FEMA Guidance on planning for integration of functional needs,2010
FEMA Guidance on Planning for Personal Assistance Services in General Population Shelters,2020
FEMA Preparing for Disaster,2004
FHWA Evacuating Populations With Special Needs,2009
Guide to the ABA Accessibility Standards,2010
NFPA 1600,2019
NFPA 1616,2020
NFPA 1620,2020
NFPA 170,2021
NFPA 72,2022
NFPA Building Occupants Should They Stay or Should They Go,2022
NFPA Evacuation Guide for People with Disabilities,2022
NFPA Guidelines to Developing Emergency Action Plans for All Hazard Emergencies in High-Rise Office Buildings,2014
NFPA101,2024
Ready Evacuation,2024
Ready People with disabilities,2024
SFPE Applications of Elevators for Occupant Egress in Fires,2010
SFPE Handbook of Fire Protection Engineering,2016
The ADA and Emergency Shelters,2007
