parameter,value,status
v0_amb,1.428889,calibrated
tau_amb,0.616773,calibrated
B_amb,0.143604,calibrated
v0_mob,0.787160,calibrated
tau_mob,0.954063,calibrated
B_mob,0.112986,calibrated
beta_leader,0.000000,inactive in A1
lambda_door,7.481978,calibrated
w_cong,0.299098,calibrated
a_D2,1.778126,calibrated
a_D3,2.228716,calibrated
a_D4,1.167028,calibrated
t_premove,13.892697,calibrated
phi_unfam,0.920669,calibrated
A_amb,2000.0,fixed
A_mob,2000.0,fixed
A_wall,2000.0,fixed
B_wall,0.08,fixed
m_amb,70.0,fixed
m_mob,80.0,fixed
J_optimum,6.067754,objective at optimum
