scenario_id,alarm_delay_s,iwd_share,smoke_level,emergency_lighting,environment_seed,initial_placement_seed,movement_seed,uptake_uniform_seed,planner_tie_break_seed
1,40.25847676,0.28763757,high,nominal,5007008212911215056,5359960307331165976,6013698610104110575,5424984170025971382,8301413239870497345
2,32.11325891,0.38351763,medium,nominal,1903356589294839170,8305710086360018347,170657315338097789,1099739527735209763,6711866721855834631
3,40.95022907,0.39288956,medium,nominal,487851232884467293,5592170085584917012,8029157127470808662,3413175859983103234,6047861474087656261
4,26.05619137,0.10213922,medium,outage_50pct,5655522812468786239,6820817009185125764,6925451429530410580,7923790614912160779,4333259084287872113
5,15.00177530,0.02147962,high,nominal,119494725106829498,8612106738017511970,7697997703444147797,4876005071652149332,4227107960437855287
6,21.66881242,0.48977984,medium,nominal,8952109969584086744,4247387363738877677,3466273472745169330,3619017349346531008,4388069992794275077
7,2.12273996,0.23779997,high,nominal,3081348971489130480,266588066984026679,5273201166441873988,1464080729326170498,3565012741222925625
8,14.12099700,0.01827808,high,outage_50pct,2642628238446352457,3331307944844849817,3618226399690305741,213304782786870478,5008592659079478200
9,13.54513349,0.46383452,medium,outage_50pct,5780943469376024011,853267851122535199,5731958600247889792,629833925934054528,6562987843219131384
10,44.97153316,0.47090320,high,outage_50pct,7824774605312733200,5497720486883217780,5781173780690624625,5613707605721184330,1765018185971311020
11,28.81573131,0.36906568,low,outage_50pct,2274324330730292558,537577953198265975,3538292057794615217,9137064841687119204,7654645883701972347
12,55.78609143,0.15263611,low,outage_50pct,4888377160440711644,7508482985267198943,6089806237518158194,5361324730230544942,7038832670516388795
13,18.73024256,0.22457090,low,nominal,360791373304476983,3483123317943871709,71891017649069677,210497971022780189,127268000611664618
14,25.74722686,0.26795645,medium,outage_50pct,2287323587688995199,9140991907056081942,3309780857852624452,8422954057731426360,4099186298365987459
15,51.93002414,0.45164846,low,nominal,469112711704899192,2748452100321241251,8127908138468888838,6913760483317692739,8911616612131928613
16,33.82043066,0.02533838,medium,outage_50pct,8382967880548884320,7891839391454967835,1826606505793175880,8542765214942777272,2632885056339978106
17,39.98235349,0.33101547,high,nominal,6777223058915186330,8420864688391531255,6802744812481126877,8016204329902430363,5740086409946647357
18,7.32145752,0.27975348,low,nominal,6450912717334618528,329564968036119180,8715223074664615373,9056104101231586118,58970239200985771
19,11.62584992,0.35774928,low,nominal,903402026959871434,7794909539140055921,7400244136994700214,2447398612011060085,427307965882833530
20,27.04661443,0.00103875,low,nominal,5061429235725489244,5247329919603222004,2308909441081800146,2574061487187373933,5137441151594857546
21,15.94238882,0.12857657,low,outage_50pct,1976276634419108728,7708582137853958751,2500704304313316680,1649023720989325156,5262298712324662344
22,50.72005006,0.00977415,low,outage_50pct,5066982838007457964,216147903107996311,8553717929871513153,6392511080064854263,885248484647625494
23,54.22709837,0.08206223,low,outage_50pct,180664628590060944,3786975114469026556,3899431181859031166,3657060638737141148,7812997031738153969
24,3.23984785,0.05508702,high,outage_50pct,6721563406009129915,5286486717995603996,6045815017034571608,7342904761569379865,6059070108464549036
25,42.33007948,0.33952842,high,nominal,477399634768498595,8523151014605543825,2870190174715333048,5904635895034725852,504705793556207434
26,34.28500085,0.24939027,medium,outage_50pct,2343407679092124374,7255640442454592966,4684487652759995741,5486787010600385029,8268036233687852042
27,39.42136173,0.49225234,medium,outage_50pct,7622834567721639822,3560092635546916620,1245990064379367877,8410826833309088987,8310402954771526744
28,8.16935085,0.11239190,high,nominal,56734068414916714,3722259430249531314,4520541767796965941,541644701718748554,7551036111076076932
29,48.15835791,0.43739680,medium,outage_50pct,4225673049056981015,1970419967698321497,5150784445495804605,771325940796001369,5544437039691889331
30,46.28753159,0.24496518,low,nominal,7076586711659664453,436724428254804502,5353241205039878704,7396028637264847553,8218035135069953944
31,3.67630448,0.14567219,medium,outage_50pct,5789241998638747157,369313406586943295,5878953407515108339,3590352655136518400,5685880102816570343
