occupancy_key,occupancy_row,room_id,floor,area_sqft,capacity_raw_persons,assigned_agents
F1-S2,2,101,1,2056.44,102.822,67
F1-S3,3,102,1,1289.7,64.485,42
F1-S4,4,102A,1,89.83,4.4915,3
F1-S5,5,103,1,90.47,4.5235,3
F1-S6,6,103A,1,26.9,1.345,1
F1-S7,7,104,1,105.98,5.299,3
F1-S8,8,105,1,112.13,5.6065,4
F1-S9,9,106,1,106.69,5.3345,3
F1-S10,10,107,1,1309.37,65.46849999999999,43
F1-S11,11,108,1,295.05,14.752500000000001,10
F1-S12,12,109,1,182.89,9.144499999999999,6
F1-S13,13,109A,1,46.89,2.3445,1
F1-S14,14,109B,1,52.01,2.6005,2
F1-S15,15,109C,1,47.62,2.381,2
F1-S16,16,109D,1,89.29,4.4645,3
F1-S17,17,110,1,630.86,31.543,20
F1-S18,18,110A,1,114.96,5.747999999999999,4
F1-S19,19,110B,1,114.52,5.726,4
F1-S20,20,110C,1,99.02,4.951,3
F1-S21,21,110D,1,89.29,4.4645,3
F1-S22,22,110E,1,31.73,1.5865,1
F1-S23,23,110F,1,50.58,2.529,2
F1-S24,24,111,1,144.26,7.212999999999999,5
F1-S25,25,111A,1,48.71,2.4355,2
F1-S26,26,111B,1,48.59,2.4295,2
F1-S27,27,111C,1,48.21,2.4105,2
F1-S28,28,111D,1,45.87,2.2935,1
F1-S29,29,112,1,468.19,23.4095,15
F1-S30,30,113,1,66.02,3.3009999999999997,2
F1-S31,31,111 C,1,66.02,3.3009999999999997,2
F1-S32,32,114,1,112.67,5.6335,4
F1-S33,33,115,1,138.06,6.9030000000000005,4
F1-S34,34,116,1,114.06,5.703,4
F1-S35,35,117,1,113.38,5.669,4
F1-S36,36,118,1,132.32,6.616,4
F1-S37,37,119,1,137.62,6.881,4
F1-S38,38,120,1,92.96,4.648,3
F1-S39,39,121,1,140.61,7.030500000000001,5
F1-S40,40,122,1,91.8,4.59,3
F1-S41,41,123,1,91.8,4.59,3
F1-S42,42,124,1,95.94,4.797,3
F1-S43,43,125,1,92.68,4.634,3
F1-S44,44,126,1,118.54,5.9270000000000005,4
F1-S45,45,127,1,118.54,5.9270000000000005,4
F1-S46,46,128,1,142.52,7.126,5
F1-S47,47,129,1,142.52,7.126,5
F1-S48,48,130,1,219.38,10.969,7
F1-S49,49,131,1,406.35,20.317500000000003,13
F1-S50,50,131A,1,69.44,3.472,2
F1-S51,51,132,1,90.36,4.518,3
F1-S52,52,132A,1,79.79,3.9895000000000005,3
F1-S53,53,133,1,41.05,2.0524999999999998,1
F1-S54,54,133A,1,41.05,2.0524999999999998,1
F1-S55,55,134,1,181.0,9.05,6
F1-S56,56,135,1,930.63,46.5315,30
F1-S57,57,136,1,525.96,26.298000000000002,17
F1-S58,58,137,1,976.15,48.8075,32
F1-S59,59,138,1,92.94,4.647,3
F1-S60,60,139,1,91.93,4.596500000000001,3
F1-S61,61,140,1,236.34,11.817,8
F1-S62,62,140A,1,114.15,5.7075000000000005,4
F1-S63,63,140B,1,503.76,25.188,16
F1-S64,64,140C,1,66.81,3.3405,2
F1-S65,65,141,1,891.28,44.564,29
F1-S66,66,142,1,456.55,22.8275,15
F1-S67,67,143,1,199.81,9.9905,6
F1-S68,68,144,1,198.19,9.9095,6
F1-S69,69,145,1,48.96,2.448,2
F1-S70,70,146,1,332.09,16.604499999999998,11
F1-S71,71,147,1,368.75,18.4375,12
F2-S72,72,200,2,157.76,7.888,5
F2-S73,73,201A,2,262.0,13.1,8
F2-S74,74,201B,2,260.36,13.018,8
F2-S75,75,201C,2,338.36,16.918,11
F2-S76,76,202B,2,183.63,9.1815,6
F2-S77,77,202C,2,341.59,17.0795,11
F2-S78,78,203,2,85.7,4.285,3
F2-S79,79,204,2,79.57,3.9784999999999995,3
F2-S80,80,205,2,159.81,7.9905,5
F2-S81,81,206,2,49.87,2.4935,2
F2-S82,82,207,2,85.42,4.271,3
F2-S83,83,208,2,77.57,3.8785,2
F2-S84,84,200P,2,31.15,1.5574999999999999,1
F2-S85,85,200C,2,48.02,2.4010000000000002,2
F2-S86,86,209J,2,193.23,9.6615,6
F2-S87,87,209K,2,86.3,4.3149999999999995,3
F2-S88,88,210,2,204.46,10.223,7
F2-S89,89,211,2,90.17,4.5085,3
F2-S90,90,212,2,93.85,4.6925,3
F2-S91,91,213,2,117.16,5.858,4
F2-S92,92,214,2,506.16,25.308,16
F2-S93,93,215A,2,71.01,3.5505000000000004,2
F2-S94,94,215B,2,76.11,3.8055,2
F2-S95,95,215C,2,54.71,2.7355,2
F2-S96,96,218,2,87.26,4.363,3
F2-S97,97,220,2,87.55,4.3774999999999995,3
F2-S98,98,220A,2,92.21,4.6105,3
F2-S99,99,220B,2,134.7,6.734999999999999,4
F2-S100,100,222,2,88.1,4.404999999999999,3
F2-S101,101,223,2,87.34,4.367,3
F2-S102,102,224,2,90.02,4.5009999999999994,3
F2-S103,103,225,2,88.66,4.433,3
F2-S104,104,226,2,87.65,4.3825,3
F2-S105,105,227,2,91.07,4.5535,3
F2-S106,106,228,2,86.46,4.3229999999999995,3
F2-S107,107,229,2,89.18,4.4590000000000005,3
F2-S108,108,230,2,89.06,4.453,3
F2-S109,109,231,2,87.74,4.387,3
F2-S110,110,232,2,90.61,4.5305,3
