uptake_C,total_agents,iwd_agents,total_exited,iwd_exited,total_completion_rate,iwd_completion_rate,median_exit_time_s,max_exit_time_s,route_changes,uptake_agents,runtime_seconds,simulated_horizon_s,scenario_id,paired_total_exit_difference_from_C0,paired_iwd_exit_difference_from_C0
0.0,2096,603,1773,532,0.845897,0.882255,147.95,359.9,0,0,217.031,360.0000000000476,1,0,0
0.1,2096,603,1822,533,0.869275,0.883914,150.75,359.6,79,215,204.089,360.0000000000476,1,49,1
0.3,2096,603,1970,589,0.939885,0.976783,155.725,359.6,217,633,191.719,360.0000000000476,1,197,57
0.5,2096,603,2071,588,0.988073,0.975124,160.85,359.85,359,1035,186.724,360.0000000000476,1,298,56
0.7,2096,603,2096,603,1.0,1.0,155.6,352.25,509,1468,180.078,352.3000000000458,1,323,71
0.0,2096,804,1956,742,0.933206,0.922886,159.875,359.8,0,0,202.638,360.0000000000476,2,0,0
0.1,2096,804,2015,767,0.961355,0.95398,156.0,359.6,70,234,196.108,360.0000000000476,2,59,25
0.3,2096,804,2091,799,0.997615,0.993781,160.35,359.35,175,629,189.556,360.0000000000476,2,135,57
0.5,2096,804,2093,802,0.998569,0.997512,158.9,359.7,295,1050,184.051,360.0000000000476,2,137,60
0.7,2096,804,2096,804,1.0,1.0,158.025,329.05,430,1492,180.283,329.10000000004055,2,140,62
0.0,2096,823,1919,735,0.915553,0.893074,158.6,359.75,0,0,201.652,360.0000000000476,3,0,0
0.1,2096,823,1960,747,0.935115,0.907655,158.475,359.75,53,179,197.058,360.0000000000476,3,41,12
0.3,2096,823,2049,776,0.977576,0.942892,162.55,359.5,172,583,196.807,360.0000000000476,3,130,41
0.5,2096,823,2087,814,0.995706,0.989064,162.95,359.8,295,1006,174.454,360.0000000000476,3,168,79
0.7,2096,823,2096,823,1.0,1.0,163.05,338.3,416,1442,192.193,338.35000000004266,3,177,88
0.0,2096,214,1574,180,0.750954,0.841121,138.15,359.75,0,0,152.512,360.0000000000476,4,0,0
0.1,2096,214,1634,181,0.77958,0.845794,138.225,359.9,87,200,152.858,360.0000000000476,4,60,1
0.3,2096,214,1801,194,0.859256,0.906542,137.35,359.95,296,622,133.941,360.0000000000476,4,227,14
0.5,2096,214,1951,210,0.930821,0.981308,137.4,359.8,476,1033,124.779,360.0000000000476,4,377,30
0.7,2096,214,2096,214,1.0,1.0,141.675,354.0,676,1446,97.666,354.0500000000462,4,522,34
0.0,2096,45,1483,38,0.707538,0.844444,125.8,359.6,0,0,255.406,360.0000000000476,5,0,0
0.1,2096,45,1562,37,0.745229,0.822222,125.1,359.6,118,202,237.312,360.0000000000476,5,79,-1
0.3,2096,45,1752,39,0.835878,0.866667,120.525,359.6,349,629,222.128,360.0000000000476,5,269,1
0.5,2096,45,1915,44,0.913645,0.977778,123.55,359.75,548,1022,195.353,360.0000000000476,5,432,6
0.7,2096,45,2093,44,0.998569,0.977778,129.4,350.65,793,1456,192.898,360.0000000000476,5,610,6
0.0,2096,1027,2030,961,0.968511,0.935735,155.35,359.6,0,0,190.639,360.0000000000476,6,0,0
0.1,2096,1027,2058,989,0.98187,0.962999,153.1,359.75,60,216,187.311,360.0000000000476,6,28,28
0.3,2096,1027,2096,1027,1.0,1.0,152.1,358.55,174,626,176.879,358.60000000004726,6,66,66
0.5,2096,1027,2096,1027,1.0,1.0,154.5,341.9,276,1046,173.547,341.9500000000435,6,66,66
0.7,2096,1027,2096,1027,1.0,1.0,154.6,332.95,393,1478,186.697,333.00000000004144,6,66,66
0.0,2096,498,1758,429,0.83874,0.861446,125.675,359.8,0,0,208.275,360.0000000000476,7,0,0
0.1,2096,498,1811,430,0.864027,0.863454,126.9,359.8,75,220,219.639,360.0000000000476,7,53,1
0.3,2096,498,1964,471,0.937023,0.945783,127.025,359.8,244,666,196.71,360.0000000000476,7,206,42
0.5,2096,498,2093,495,0.998569,0.993976,130.45,356.2,393,1073,181.06,360.0000000000476,7,335,66
0.7,2096,498,2096,498,1.0,1.0,126.975,331.9,558,1499,179.78,331.9500000000412,7,338,69
0.0,2096,38,1488,27,0.709924,0.710526,126.7,359.85,0,0,255.256,360.0000000000476,8,0,0
0.1,2096,38,1560,30,0.744275,0.789474,126.175,359.85,95,172,241.868,360.0000000000476,8,72,3
0.3,2096,38,1726,31,0.823473,0.815789,121.275,359.75,315,592,214.578,360.0000000000476,8,238,4
0.5,2096,38,1917,38,0.914599,1.0,124.1,359.75,556,1009,194.264,360.0000000000476,8,429,11
0.7,2096,38,2095,38,0.999523,1.0,130.3,354.15,797,1460,201.571,360.0000000000476,8,607,11
0.0,2096,972,2067,943,0.986164,0.970165,149.8,359.7,0,0,191.447,360.0000000000476,9,0,0
0.1,2096,972,2094,970,0.999046,0.997942,145.55,358.9,57,205,183.736,360.0000000000476,9,27,27
0.3,2096,972,2096,972,1.0,1.0,142.6,342.55,171,628,170.282,342.6000000000436,9,29,29
0.5,2096,972,2096,972,1.0,1.0,145.0,326.2,272,1023,166.173,326.2500000000399,9,29,29
0.7,2096,972,2096,972,1.0,1.0,143.075,296.1,374,1433,161.793,296.15000000003306,9,29,29
0.0,2096,987,2016,907,0.961832,0.918946,170.525,359.85,0,0,191.316,360.0000000000476,10,0,0
0.1,2096,987,2057,948,0.981393,0.960486,167.1,359.75,67,237,185.477,360.0000000000476,10,41,41
0.3,2096,987,2075,966,0.989981,0.978723,164.4,359.8,187,659,188.745,360.0000000000476,10,59,59
0.5,2096,987,2088,979,0.996183,0.991895,163.725,358.95,283,1062,176.421,360.0000000000476,10,72,72
0.7,2096,987,2096,987,1.0,1.0,165.725,336.8,385,1481,175.894,336.8500000000423,10,80,80
0.0,2096,774,1889,683,0.90124,0.882429,151.65,359.75,0,0,211.25,360.0000000000476,11,0,0
0.1,2096,774,1966,714,0.937977,0.922481,150.45,359.75,69,226,196.29,360.0000000000476,11,77,31
0.3,2096,774,2053,743,0.979485,0.959948,154.95,359.75,190,643,193.529,360.0000000000476,11,164,60
0.5,2096,774,2093,772,0.998569,0.997416,153.7,358.9,312,1053,180.996,360.0000000000476,11,204,89
0.7,2096,774,2096,774,1.0,1.0,152.925,325.95,452,1481,183.856,326.00000000003985,11,207,91
0.0,2096,320,1547,249,0.738073,0.778125,149.6,359.6,0,0,226.918,360.0000000000476,12,0,0
0.1,2096,320,1625,252,0.775286,0.7875,150.45,359.95,110,232,232.071,360.0000000000476,12,78,3
0.3,2096,320,1773,271,0.845897,0.846875,155.3,359.8,293,631,205.938,360.0000000000476,12,226,22
0.5,2096,320,1973,308,0.941317,0.9625,157.75,359.75,495,1062,194.521,360.0000000000476,12,426,59
0.7,2096,320,2088,312,0.996183,0.975,159.275,358.55,671,1463,205.179,360.0000000000476,12,541,63
0.0,2096,471,1734,417,0.82729,0.88535,138.9,359.65,0,0,215.895,360.0000000000476,13,0,0
0.1,2096,471,1778,405,0.848282,0.859873,138.475,359.6,77,214,215.848,360.0000000000476,13,44,-12
0.3,2096,471,1905,433,0.908874,0.919321,138.35,359.6,218,609,205.357,360.0000000000476,13,171,16
0.5,2096,471,2072,468,0.98855,0.993631,142.5,359.6,400,1047,187.329,360.0000000000476,13,338,51
0.7,2096,471,2096,471,1.0,1.0,139.5,325.35,562,1460,197.022,325.4000000000397,13,362,54
0.0,2096,562,1765,478,0.84208,0.850534,139.0,359.6,0,0,213.736,360.0000000000476,14,0,0
0.1,2096,562,1847,501,0.881202,0.891459,141.6,359.6,75,213,207.335,360.0000000000476,14,82,23
0.3,2096,562,1993,539,0.950859,0.959075,147.85,359.6,236,651,202.232,360.0000000000476,14,228,61
0.5,2096,562,2093,559,0.998569,0.994662,151.8,354.8,389,1048,171.738,360.0000000000476,14,328,81
0.7,2096,562,2096,562,1.0,1.0,147.1,335.65,528,1455,187.303,335.70000000004205,14,331,84
0.0,2096,947,1989,847,0.94895,0.894403,175.1,359.95,0,0,207.444,360.0000000000476,15,0,0
0.1,2096,947,2024,876,0.965649,0.925026,172.325,359.9,36,172,190.113,360.0000000000476,15,35,29
0.3,2096,947,2071,923,0.988073,0.974657,171.05,359.8,151,583,189.264,360.0000000000476,15,82,76
0.5,2096,947,2083,935,0.993798,0.987328,172.5,359.65,260,1017,184.052,360.0000000000476,15,94,88
0.7,2096,947,2095,947,0.999523,1.0,172.2,348.1,362,1448,188.283,360.0000000000476,15,106,100
0.0,2096,53,1468,39,0.700382,0.735849,137.75,359.6,0,0,244.441,360.0000000000476,16,0,0
0.1,2096,53,1556,44,0.742366,0.830189,135.95,359.6,123,227,241.58,360.0000000000476,16,88,5
0.3,2096,53,1704,41,0.812977,0.773585,138.0,359.65,326,619,219.865,360.0000000000476,16,236,2
0.5,2096,53,1905,52,0.908874,0.981132,137.85,359.65,561,1045,202.614,360.0000000000476,16,437,13
0.7,2096,53,2066,53,0.985687,1.0,144.3,359.7,765,1427,204.916,360.0000000000476,16,598,14
0.0,2096,694,1799,591,0.858302,0.851585,153.6,359.65,0,0,216.175,360.0000000000476,17,0,0
0.1,2096,694,1853,600,0.884065,0.864553,152.05,359.65,73,210,202.038,360.0000000000476,17,54,9
0.3,2096,694,2000,659,0.954198,0.949568,157.2,359.65,209,639,199.352,360.0000000000476,17,201,68
0.5,2096,694,2082,680,0.993321,0.979827,161.7,359.15,329,1055,180.172,360.0000000000476,17,283,89
0.7,2096,694,2096,694,1.0,1.0,159.375,339.35,463,1446,192.842,339.4000000000429,17,297,103
